LocationAbbr,LocationDesc,MortalityPer100k
IL,Bureau County,
IL,Calhoun County,
IL,Carroll County,
IL,Cass County,
IL,Champaign County,
IL,Christian County,
IL,Clark County,
IL,Clay County,
IL,Clinton County,
IL,Coles County,
IL,Cook County,197.2
IL,Crawford County,
IL,Cumberland County,
IL,DeKalb County,581.2
IL,De Witt County,
IL,Douglas County,
IL,DuPage County,187.9
IL,Edgar County,
IL,Edwards County,
IL,Effingham County,
IL,Fayette County,
IL,Ford County,
IL,Franklin County,
IL,Fulton County,
IL,Gallatin County,
IL,Greene County,
IL,Grundy County,
IL,Hamilton County,
IL,Hancock County,
IL,Hardin County,
IL,Henderson County,
IL,Henry County,
IL,Iroquois County,
IL,Jackson County,
IL,Jasper County,
IL,Jefferson County,
IL,Jersey County,
IL,Illinois,257
IL,Jo Daviess County,
IL,Johnson County,
IL,Kane County,224.7
IL,Kankakee County,
IL,Kendall County,
IL,Knox County,
IL,Lake County,117.5
IL,La Salle County,
IL,Lawrence County,
IL,Lee County,
IL,Livingston County,
IL,Logan County,
IL,McDonough County,
IL,McHenry County,
IL,McLean County,
IL,Macon County,
IL,Macoupin County,
IL,Madison County,
IL,Marion County,
IL,Marshall County,
IL,Illinois,450
IL,Mason County,
IL,Massac County,
IL,Menard County,
IL,Mercer County,
IL,Monroe County,
IL,Montgomery County,
IL,Morgan County,
IL,Moultrie County,
IL,Ogle County,
IL,Peoria County,
IL,Perry County,
IL,Piatt County,
IL,Pike County,
IL,Pope County,
IL,Pulaski County,
IL,Putnam County,
IL,Randolph County,
IL,Richland County,
IL,Rock Island County,
IL,St. Clair County,
IL,Illinois,587.5
IL,Saline County,
IL,Sangamon County,
IL,Schuyler County,
IL,Scott County,
IL,Shelby County,
IL,Stark County,
IL,Stephenson County,
IL,Tazewell County,
IL,Union County,
IL,Vermilion County,
IL,Wabash County,
IL,Warren County,
IL,Washington County,
IL,Wayne County,
IL,White County,
IL,Whiteside County,
IL,Will County,180.3
IL,Williamson County,
IL,Winnebago County,
IL,Woodford County,
IL,Illinois,354.1
IL,Adams County,
IL,Alexander County,
IL,Bond County,
IL,Boone County,
IL,Brown County,
IL,Bureau County,
IL,Calhoun County,
IL,Carroll County,
IL,Cass County,
IL,Champaign County,
IL,Christian County,
IL,Clark County,
IL,Clay County,
IL,Clinton County,
IL,Coles County,
IL,Cook County,235.9
IL,Crawford County,
IL,Cumberland County,
IL,DeKalb County,
IL,De Witt County,
IL,Douglas County,
IL,DuPage County,224.9
IL,Edgar County,
IL,Edwards County,
IL,Effingham County,
IL,Fayette County,
IL,Ford County,
IL,Franklin County,
IL,Fulton County,
IL,Gallatin County,
IL,Greene County,
IL,Grundy County,
IL,Hamilton County,
IL,Hancock County,
IL,Hardin County,
IL,Henderson County,
IL,Henry County,
IL,Iroquois County,
IL,Jackson County,
IL,Jasper County,
IL,Jefferson County,
IL,Jersey County,
IL,Jo Daviess County,
IL,Johnson County,
IL,Kane County,306
IL,Kankakee County,
IL,Kendall County,
IL,Knox County,
IL,Lake County,167.5
IL,La Salle County,
IL,Lawrence County,
IL,Lee County,
IL,Livingston County,
IL,Logan County,
IL,McDonough County,
IL,McHenry County,
IL,McLean County,
IL,Macon County,
IL,Macoupin County,
IL,Madison County,
IL,Marion County,
IL,Marshall County,
IL,Mason County,
IL,Massac County,
IL,Menard County,
IL,Mercer County,
IL,Monroe County,
IL,Montgomery County,
IL,Morgan County,
IL,Moultrie County,
IL,Ogle County,
IL,Peoria County,
IL,Perry County,
IL,Piatt County,
IL,Pike County,
IL,Pope County,
IL,Pulaski County,
IL,Putnam County,
IL,Randolph County,
IL,Richland County,
IL,Rock Island County,
IL,St. Clair County,
IL,Saline County,
IL,Sangamon County,
IL,Schuyler County,
IL,Scott County,
IL,Shelby County,
IL,Stark County,
IL,Stephenson County,
IL,Tazewell County,
IL,Union County,
IL,Vermilion County,
IL,Wabash County,
IL,Warren County,
IL,Washington County,
IL,Wayne County,
IL,White County,
IL,Whiteside County,
IL,Will County,220
IL,Williamson County,
IL,Winnebago County,
IL,Woodford County,
IL,Adams County,
IL,Alexander County,
IL,Bond County,
IL,Boone County,
IL,Brown County,
IL,Bureau County,
IL,Calhoun County,
IL,Carroll County,
IL,Cass County,
IL,Champaign County,
IL,Christian County,
IL,Clark County,
IL,Clay County,
IL,Clinton County,
IL,Coles County,
IL,Cook County,
IL,Crawford County,
IL,Cumberland County,
IL,DeKalb County,
IL,De Witt County,
IL,Douglas County,
IL,DuPage County,
IL,Edgar County,
IL,Illinois,187.2
IL,Edwards County,
IL,Effingham County,
IL,Fayette County,
IL,Ford County,
IL,Franklin County,
IL,Fulton County,
IL,Gallatin County,
IL,Greene County,
IL,Grundy County,
IL,Hamilton County,
IL,Hancock County,
IL,Hardin County,
IL,Henderson County,
IL,Henry County,
IL,Iroquois County,
IL,Jackson County,
IL,Jasper County,
IL,Jefferson County,
IL,Jersey County,
IL,Jo Daviess County,
IL,Illinois,234.4
IL,Johnson County,
IL,Kane County,
IL,Kankakee County,
IL,Kendall County,
IL,Knox County,
IL,Lake County,
IL,La Salle County,
IL,Lawrence County,
IL,Lee County,
IL,Livingston County,
IL,Logan County,
IL,McDonough County,
IL,McHenry County,
IL,McLean County,
IL,Macon County,
IL,Macoupin County,
IL,Madison County,
IL,Marion County,
IL,Marshall County,
IL,Mason County,
IL,Massac County,
IL,Menard County,
IL,Mercer County,
IL,Monroe County,
IL,Montgomery County,
IL,Morgan County,
IL,Moultrie County,
IL,Ogle County,
IL,Peoria County,
IL,Perry County,
IL,Piatt County,
IL,Pike County,
IL,Pope County,
IL,Pulaski County,
IL,Putnam County,
IL,Randolph County,
IL,Richland County,
IL,Rock Island County,
IL,St. Clair County,
IL,Saline County,
IL,Sangamon County,
IL,Illinois,146.4
IL,Schuyler County,
IL,Scott County,
IL,Shelby County,
IL,Stark County,
IL,Stephenson County,
IL,Tazewell County,
IL,Union County,
IL,Vermilion County,
IL,Wabash County,
IL,Warren County,
IL,Washington County,
IL,Wayne County,
IL,White County,
IL,Whiteside County,
IL,Will County,
IL,Williamson County,
IL,Winnebago County,
IL,Woodford County,
IL,Illinois,331.7
IL,Illinois,423.3
IL,Illinois,261
IL,Illinois,167.2
IL,Illinois,167.2
IL,Illinois,167.2
IL,Illinois,174.2
IL,Illinois,250.5
IL,Illinois,128.3
IN,Adams County,352.1
IN,Allen County,330.3
IN,Bartholomew County,364.3
IN,Benton County,394.7
IN,Blackford County,361.6
IN,Boone County,354
IN,Brown County,333.4
IN,Carroll County,323.2
IN,Cass County,383.7
IN,Clark County,363.6
IN,Clay County,417.1
IN,Clinton County,361.4
IN,Crawford County,372.7
IN,Daviess County,366.7
IN,Dearborn County,321
IN,Decatur County,370.4
IN,DeKalb County,364.1
IN,Delaware County,364.2
IN,Dubois County,348.5
IN,Elkhart County,357.3
IN,Fayette County,380.4
IN,Floyd County,382.3
IN,Fountain County,394.2
IN,Franklin County,336.6
IN,Fulton County,424.5
IN,Gibson County,351.3
IN,Grant County,366.9
IN,Greene County,392.7
IN,Hamilton County,250.4
IN,Hancock County,309.6
IN,Harrison County,344.3
IN,Hendricks County,323.9
IN,Henry County,353.2
IN,Howard County,430.7
IN,Huntington County,357.8
IN,Jackson County,348.8
IN,Jasper County,382.6
IN,Jay County,422.3
IN,Jefferson County,453
IN,Jennings County,379.2
IN,Johnson County,372.5
IN,Knox County,382.6
IN,Kosciusko County,341
IN,LaGrange County,350.2
IN,Lake County,354.5
IN,LaPorte County,404.2
IN,Lawrence County,450.4
IN,Madison County,364.5
IN,Marion County,369.8
IN,Marshall County,328.8
IN,Martin County,373
IN,Miami County,515
IN,Monroe County,280.7
IN,Montgomery County,391.6
IN,Morgan County,431.2
IN,Newton County,364.5
IN,Noble County,344.8
IN,Ohio County,332.4
IN,Orange County,380.9
IN,Owen County,414.9
IN,Parke County,416.4
IN,Perry County,416.5
IN,Pike County,335.5
IN,Porter County,311.2
IN,Posey County,350.9
IN,Pulaski County,448.3
IN,Putnam County,380.7
IN,Randolph County,367.6
IN,Ripley County,388.7
IN,Rush County,381.3
IN,St. Joseph County,340.2
IN,Scott County,398.9
IN,Shelby County,364.9
IN,Spencer County,322.3
IN,Starke County,450.4
IN,Steuben County,371
IN,Sullivan County,421.4
IN,Switzerland County,428.8
IN,Tippecanoe County,342.5
IN,Tipton County,379.2
IN,Union County,370.6
IN,Vanderburgh County,354.8
IN,Vermillion County,486
IN,Vigo County,427.5
IN,Wabash County,333.3
IN,Warren County,282.7
IN,Warrick County,324.8
IN,Washington County,395.2
IN,Wayne County,371.4
IN,Wells County,328.4
IN,White County,355.5
IN,Whitley County,334.4
IN,Adams County,454.2
IN,Allen County,441.8
IN,Bartholomew County,462.4
IN,Benton County,516.1
IN,Blackford County,483.7
IN,Boone County,400.7
IN,Brown County,435.6
IN,Carroll County,459.4
IN,Cass County,533.9
IN,Clark County,466.9
IN,Clay County,508.6
IN,Clinton County,429.1
IN,Crawford County,455.1
IN,Daviess County,482.5
IN,Dearborn County,398.8
IN,Decatur County,464.9
IN,DeKalb County,460.3
IN,Delaware County,478.4
IN,Dubois County,427.5
IN,Elkhart County,450.5
IN,Fayette County,468.7
IN,Floyd County,493.7
IN,Fountain County,522
IN,Franklin County,403
IN,Fulton County,468.3
IN,Gibson County,435.2
IN,Grant County,503.3
IN,Greene County,462.5
IN,Hamilton County,300.4
IN,Hancock County,403.6
IN,Harrison County,435.3
IN,Hendricks County,404
IN,Henry County,459.2
IN,Howard County,518
IN,Huntington County,454.7
IN,Jackson County,457.6
IN,Jasper County,477.5
IN,Jay County,490.6
IN,Jefferson County,521.2
IN,Jennings County,465.9
IN,Johnson County,475.9
IN,Knox County,487.4
IN,Kosciusko County,422.4
IN,LaGrange County,466.3
IN,Lake County,447.8
IN,LaPorte County,501.5
IN,Lawrence County,574.8
IN,Madison County,474.8
IN,Marion County,478.4
IN,Marshall County,404.2
IN,Martin County,471.7
IN,Miami County,571.6
IN,Monroe County,375.2
IN,Montgomery County,483.8
IN,Morgan County,501.9
IN,Newton County,471.8
IN,Noble County,440.3
IN,Ohio County,411
IN,Orange County,474.9
IN,Owen County,440.8
IN,Parke County,513.1
IN,Perry County,463.1
IN,Pike County,460.5
IN,Porter County,410.1
IN,Posey County,437.4
IN,Pulaski County,533.6
IN,Putnam County,458.8
IN,Randolph County,467.5
IN,Ripley County,493.2
IN,Rush County,452.5
IN,St. Joseph County,442.7
IN,Scott County,500.7
IN,Shelby County,475.8
IN,Spencer County,416.5
IN,Starke County,501.7
IN,Steuben County,461.6
IN,Sullivan County,525.2
IN,Switzerland County,433
IN,Tippecanoe County,450.4
IN,Tipton County,407.1
IN,Union County,456.2
IN,Vanderburgh County,481.8
IN,Vermillion County,554.3
IN,Vigo County,540.3
IN,Wabash County,421.3
IN,Warren County,453.8
IN,Warrick County,407.6
IN,Washington County,499.2
IN,Wayne County,466.6
IN,Wells County,446.2
IN,White County,455.8
IN,Whitley County,432.7
IN,Adams County,276.7
IN,Allen County,250.7
IN,Bartholomew County,290.1
IN,Benton County,281.4
IN,Blackford County,262
IN,Boone County,303.9
IN,Brown County,249.1
IN,Carroll County,239.9
IN,Cass County,279.1
IN,Clark County,283
IN,Clay County,349.1
IN,Clinton County,293.7
IN,Crawford County,304.9
IN,Daviess County,281.1
IN,Dearborn County,258.7
IN,Decatur County,298
IN,DeKalb County,263.4
IN,Delaware County,275
IN,Dubois County,269.8
IN,Elkhart County,281.9
IN,Fayette County,305.5
IN,Floyd County,279.3
IN,Fountain County,281.3
IN,Franklin County,273.9
IN,Fulton County,380.9
IN,Gibson County,264
IN,Grant County,259.7
IN,Greene County,328.8
IN,Hamilton County,214.8
IN,Hancock County,242.3
IN,Harrison County,267.6
IN,Hendricks County,264.7
IN,Henry County,273.2
IN,Howard County,353
IN,Huntington County,279.1
IN,Jackson County,263.5
IN,Jasper County,290
IN,Jay County,335.9
IN,Jefferson County,361.7
IN,Jennings County,311
IN,Johnson County,302
IN,Knox County,282.8
IN,Kosciusko County,280.4
IN,LaGrange County,265.7
IN,Lake County,276.2
IN,LaPorte County,313.5
IN,Lawrence County,345.3
IN,Madison County,274.2
IN,Marion County,290
IN,Marshall County,284.4
IN,Martin County,310.4
IN,Miami County,433.8
IN,Monroe County,208.3
IN,Montgomery County,304.8
IN,Morgan County,356.4
IN,Newton County,284.5
IN,Noble County,267.3
IN,Ohio County,259.5
IN,Orange County,313.7
IN,Owen County,374.8
IN,Parke County,345
IN,Perry County,345.7
IN,Pike County,265.1
IN,Porter County,247.4
IN,Posey County,278.7
IN,Pulaski County,345.4
IN,Putnam County,315.6
IN,Randolph County,291.7
IN,Ripley County,303.6
IN,Rush County,319.2
IN,St. Joseph County,268.1
IN,Scott County,304.7
IN,Shelby County,282.7
IN,Spencer County,260.4
IN,Starke County,352.3
IN,Steuben County,300.6
IN,Sullivan County,333.5
IN,Switzerland County,408.9
IN,Tippecanoe County,266.3
IN,Tipton County,329.2
IN,Union County,270.6
IN,Vanderburgh County,270.7
IN,Vermillion County,402.3
IN,Vigo County,363
IN,Wabash County,280.4
IN,Warren County,206.8
IN,Warrick County,265.7
IN,Washington County,300.3
IN,Wayne County,293.7
IN,Wells County,258.3
IN,White County,278.1
IN,Whitley County,267.5
IN,Adams County,357.4
IN,Allen County,329.3
IN,Bartholomew County,369.1
IN,Benton County,401.2
IN,Blackford County,361.6
IN,Boone County,356.6
IN,Brown County,338.8
IN,Carroll County,330.2
IN,Cass County,395.8
IN,Clark County,366
IN,Clay County,418.7
IN,Clinton County,367.5
IN,Crawford County,376.7
IN,Daviess County,369.8
IN,Dearborn County,319.2
IN,Decatur County,374.4
IN,DeKalb County,368.1
IN,Delaware County,362.4
IN,Dubois County,351.1
IN,Elkhart County,358.6
IN,Fayette County,384
IN,Floyd County,389.9
IN,Fountain County,400.7
IN,Franklin County,339.7
IN,Fulton County,428.9
IN,Gibson County,351.1
IN,Grant County,366
IN,Greene County,393.1
IN,Hamilton County,255.2
IN,Hancock County,313.3
IN,Harrison County,348.9
IN,Hendricks County,326.6
IN,Henry County,355.6
IN,Howard County,425.8
IN,Huntington County,360.4
IN,Jackson County,357.6
IN,Jasper County,391.1
IN,Jay County,424.8
IN,Jefferson County,456
IN,Jennings County,382.3
IN,Johnson County,375.6
IN,Knox County,385.7
IN,Kosciusko County,344.6
IN,LaGrange County,356.3
IN,Lake County,345.6
IN,LaPorte County,407.4
IN,Lawrence County,453
IN,Madison County,358.3
IN,Marion County,365.4
IN,Marshall County,330.8
IN,Martin County,376.9
IN,Miami County,518.7
IN,Monroe County,282.9
IN,Montgomery County,396
IN,Morgan County,436.8
IN,Newton County,362.7
IN,Noble County,347.7
IN,Ohio County,338.2
IN,Orange County,384.8
IN,Owen County,419.2
IN,Parke County,420.5
IN,Perry County,424.5
IN,Pike County,338.6
IN,Porter County,320.1
IN,Posey County,348.1
IN,Pulaski County,451.7
IN,Putnam County,383.7
IN,Randolph County,369.5
IN,Ripley County,391.7
IN,Rush County,385.7
IN,St. Joseph County,331.4
IN,Scott County,402.8
IN,Shelby County,364.6
IN,Spencer County,320.8
IN,Starke County,455
IN,Steuben County,374.3
IN,Sullivan County,416.9
IN,Switzerland County,434.2
IN,Tippecanoe County,348.3
IN,Tipton County,377.5
IN,Union County,372.7
IN,Vanderburgh County,351.8
IN,Vermillion County,489.4
IN,Vigo County,431.2
IN,Wabash County,334.8
IN,Warren County,286.1
IN,Warrick County,329.1
IN,Washington County,398.8
IN,Wayne County,375
IN,Wells County,329.7
IN,White County,363
IN,Whitley County,335.7
IN,Adams County,462.2
IN,Allen County,444.7
IN,Bartholomew County,469.2
IN,Benton County,529.2
IN,Blackford County,478.5
IN,Boone County,406.2
IN,Brown County,443.7
IN,Carroll County,468.3
IN,Cass County,546.6
IN,Clark County,469.8
IN,Clay County,504.2
IN,Clinton County,441
IN,Crawford County,458.9
IN,Daviess County,486.2
IN,Dearborn County,399.4
IN,Decatur County,469.4
IN,DeKalb County,464.4
IN,Delaware County,473.8
IN,Dubois County,431.7
IN,Elkhart County,451.4
IN,Fayette County,471.3
IN,Floyd County,508.5
IN,Fountain County,530.6
IN,Franklin County,406.4
IN,Fulton County,479.7
IN,Gibson County,434.9
IN,Grant County,497.4
IN,Greene County,463.5
IN,Hamilton County,306
IN,Hancock County,407.6
IN,Harrison County,441.2
IN,Hendricks County,409.7
IN,Henry County,457.6
IN,Howard County,515.2
IN,Huntington County,454.4
IN,Jackson County,470.4
IN,Jasper County,487.5
IN,Jay County,490.2
IN,Jefferson County,520
IN,Jennings County,477.1
IN,Johnson County,473.6
IN,Knox County,490.6
IN,Kosciusko County,424.8
IN,LaGrange County,473.4
IN,Lake County,446.6
IN,LaPorte County,499.8
IN,Lawrence County,576.4
IN,Madison County,464
IN,Marion County,469
IN,Marshall County,405.8
IN,Martin County,474.6
IN,Miami County,573.1
IN,Monroe County,382.1
IN,Montgomery County,490.1
IN,Morgan County,500.5
IN,Newton County,477
IN,Noble County,443.5
IN,Ohio County,416.3
IN,Orange County,480.5
IN,Owen County,446.9
IN,Parke County,520
IN,Perry County,472.4
IN,Pike County,464.8
IN,Porter County,426.1
IN,Posey County,439.8
IN,Pulaski County,545.6
IN,Putnam County,467.3
IN,Randolph County,468.5
IN,Ripley County,494.7
IN,Rush County,457.4
IN,St. Joseph County,438.3
IN,Scott County,502.8
IN,Shelby County,468.2
IN,Spencer County,418.9
IN,Starke County,501.3
IN,Steuben County,465.7
IN,Sullivan County,526.9
IN,Switzerland County,440.9
IN,Tippecanoe County,460
IN,Tipton County,410.8
IN,Union County,453.8
IN,Vanderburgh County,476.8
IN,Vermillion County,563
IN,Vigo County,542.3
IN,Wabash County,420.2
IN,Warren County,460.6
IN,Warrick County,413.6
IN,Washington County,504.8
IN,Wayne County,470.4
IN,Wells County,454.6
IN,White County,465.9
IN,Whitley County,434.4
IN,Adams County,278.2
IN,Allen County,244.9
IN,Bartholomew County,293.4
IN,Benton County,285.9
IN,Blackford County,264.4
IN,Boone County,303.2
IN,Brown County,252
IN,Carroll County,245.8
IN,Cass County,284.8
IN,Clark County,284.7
IN,Clay County,351.5
IN,Clinton County,294.9
IN,Crawford County,309.2
IN,Daviess County,283.5
IN,Dearborn County,254.9
IN,Decatur County,300.9
IN,DeKalb County,268.7
IN,Delaware County,275.9
IN,Dubois County,271.6
IN,Elkhart County,283.2
IN,Fayette County,308.6
IN,Floyd County,283.3
IN,Fountain County,286.3
IN,Franklin County,278.4
IN,Fulton County,379.5
IN,Gibson County,265
IN,Grant County,264.4
IN,Greene County,329.9
IN,Hamilton County,218.7
IN,Hancock County,244.4
IN,Harrison County,269.6
IN,Hendricks County,265
IN,Henry County,276.4
IN,Howard County,348.7
IN,Huntington County,286.6
IN,Jackson County,268.4
IN,Jasper County,292.8
IN,Jay County,339.4
IN,Jefferson County,366.3
IN,Jennings County,313.6
IN,Johnson County,306.2
IN,Knox County,288.4
IN,Kosciusko County,286.5
IN,LaGrange County,270.3
IN,Lake County,262.8
IN,LaPorte County,319.9
IN,Lawrence County,348.8
IN,Madison County,272.1
IN,Marion County,287.4
IN,Marshall County,285.4
IN,Martin County,313.6
IN,Miami County,443.2
IN,Monroe County,207.3
IN,Montgomery County,307.7
IN,Morgan County,364.1
IN,Newton County,276.1
IN,Noble County,270.8
IN,Ohio County,264.9
IN,Orange County,316.8
IN,Owen County,378.6
IN,Parke County,347.6
IN,Perry County,355.2
IN,Pike County,269.2
IN,Porter County,250.3
IN,Posey County,279.1
IN,Pulaski County,343
IN,Putnam County,315.7
IN,Randolph County,294.8
IN,Ripley County,307.1
IN,Rush County,321.8
IN,St. Joseph County,256.3
IN,Scott County,308.3
IN,Shelby County,281.9
IN,Spencer County,257.3
IN,Starke County,359.9
IN,Steuben County,303.9
IN,Sullivan County,333.6
IN,Switzerland County,413.7
IN,Tippecanoe County,270.8
IN,Tipton County,324.4
IN,Union County,275.3
IN,Vanderburgh County,271.2
IN,Vermillion County,401.4
IN,Vigo County,366.6
IN,Wabash County,285.2
IN,Warren County,212.2
IN,Warrick County,266.6
IN,Washington County,303.3
IN,Wayne County,297.3
IN,Wells County,259.7
IN,White County,282.3
IN,Whitley County,271.4
IN,Adams County,387.1
IN,Allen County,391.2
IN,Bartholomew County,367.8
IN,Benton County,519.1
IN,Blackford County,425.6
IN,Boone County,431.1
IN,Brown County,380.9
IN,Carroll County,547.1
IN,Cass County,525.7
IN,Clark County,378.6
IN,Clay County,480.9
IN,Clinton County,400.3
IN,Crawford County,
IN,Daviess County,
IN,Dearborn County,368.9
IN,Decatur County,
IN,DeKalb County,393.4
IN,Delaware County,433.9
IN,Dubois County,
IN,Elkhart County,460
IN,Fayette County,300.4
IN,Floyd County,377.1
IN,Fountain County,464.9
IN,Franklin County,313.6
IN,Fulton County,
IN,Gibson County,417.6
IN,Grant County,484.8
IN,Greene County,365.5
IN,Hamilton County,364.2
IN,Hancock County,393.4
IN,Harrison County,370
IN,Hendricks County,362.8
IN,Henry County,354
IN,Howard County,492.3
IN,Huntington County,394.4
IN,Jackson County,417.2
IN,Jasper County,411.4
IN,Jay County,408.3
IN,Jefferson County,452.6
IN,Jennings County,
IN,Johnson County,413.1
IN,Knox County,192.3
IN,Kosciusko County,407.8
IN,LaGrange County,393
IN,Lake County,433.5
IN,LaPorte County,412.7
IN,Lawrence County,395.2
IN,Madison County,456.6
IN,Marion County,413.6
IN,Marshall County,
IN,Martin County,
IN,Miami County,500.1
IN,Monroe County,333.9
IN,Montgomery County,346.2
IN,Morgan County,405.3
IN,Newton County,433.7
IN,Noble County,391.8
IN,Ohio County,
IN,Orange County,
IN,Owen County,328.4
IN,Parke County,428.5
IN,Perry County,
IN,Pike County,
IN,Porter County,383.2
IN,Posey County,430
IN,Pulaski County,
IN,Putnam County,230.9
IN,Randolph County,364
IN,Ripley County,
IN,Rush County,
IN,St. Joseph County,451
IN,Scott County,449.5
IN,Shelby County,411.7
IN,Spencer County,
IN,Starke County,419.9
IN,Steuben County,
IN,Sullivan County,
IN,Switzerland County,
IN,Tippecanoe County,481.9
IN,Tipton County,421.7
IN,Union County,327.7
IN,Vanderburgh County,439.3
IN,Vermillion County,498.7
IN,Vigo County,520.8
IN,Wabash County,416.7
IN,Warren County,519.1
IN,Warrick County,433.2
IN,Washington County,405
IN,Wayne County,306.3
IN,Wells County,391.4
IN,White County,459.7
IN,Whitley County,384.9
IN,Adams County,478
IN,Allen County,486.2
IN,Bartholomew County,519.3
IN,Benton County,424.1
IN,Blackford County,605.9
IN,Boone County,540.8
IN,Brown County,567.7
IN,Carroll County,495.1
IN,Cass County,518.1
IN,Clark County,493.9
IN,Clay County,474.5
IN,Clinton County,448.2
IN,Crawford County,
IN,Daviess County,
IN,Dearborn County,470.3
IN,Decatur County,
IN,DeKalb County,
IN,Delaware County,575.2
IN,Dubois County,
IN,Elkhart County,565.9
IN,Fayette County,391.7
IN,Floyd County,499.3
IN,Fountain County,
IN,Franklin County,376.4
IN,Fulton County,
IN,Gibson County,572.7
IN,Grant County,593.7
IN,Greene County,
IN,Hamilton County,523.9
IN,Hancock County,523
IN,Harrison County,471.5
IN,Hendricks County,466.9
IN,Henry County,453.9
IN,Howard County,562.3
IN,Huntington County,502.7
IN,Jackson County,579.6
IN,Jasper County,512.9
IN,Jay County,542.8
IN,Jefferson County,581.6
IN,Jennings County,
IN,Johnson County,560.8
IN,Knox County,312.1
IN,Kosciusko County,514.8
IN,LaGrange County,453.5
IN,Lake County,548.4
IN,LaPorte County,518.6
IN,Lawrence County,
IN,Madison County,581.4
IN,Marion County,559.4
IN,Marshall County,
IN,Martin County,
IN,Miami County,577.1
IN,Monroe County,
IN,Montgomery County,285.2
IN,Morgan County,536.9
IN,Newton County,
IN,Noble County,476.9
IN,Ohio County,
IN,Orange County,
IN,Owen County,
IN,Parke County,589.1
IN,Perry County,
IN,Pike County,
IN,Porter County,480.6
IN,Posey County,599.4
IN,Pulaski County,
IN,Putnam County,238.8
IN,Randolph County,511.8
IN,Ripley County,
IN,Rush County,
IN,St. Joseph County,557.6
IN,Scott County,580.7
IN,Shelby County,556.7
IN,Spencer County,471
IN,Starke County,511
IN,Steuben County,
IN,Sullivan County,469.4
IN,Switzerland County,
IN,Tippecanoe County,
IN,Tipton County,547.7
IN,Union County,
IN,Vanderburgh County,623.6
IN,Vermillion County,625.8
IN,Vigo County,756.8
IN,Wabash County,487.7
IN,Warren County,426.9
IN,Warrick County,600.3
IN,Washington County,534.1
IN,Wayne County,495.6
IN,Wells County,498.5
IN,White County,
IN,Whitley County,477.2
IN,Adams County,321.1
IN,Allen County,332.9
IN,Bartholomew County,
IN,Benton County,574.3
IN,Blackford County,274.8
IN,Boone County,341.6
IN,Brown County,
IN,Carroll County,533.7
IN,Cass County,473.1
IN,Clark County,293.4
IN,Clay County,
IN,Clinton County,383.6
IN,Crawford County,
IN,Daviess County,
IN,Dearborn County,294.8
IN,Decatur County,
IN,DeKalb County,330.2
IN,Delaware County,307.6
IN,Dubois County,
IN,Elkhart County,379.1
IN,Fayette County,
IN,Floyd County,292.9
IN,Fountain County,498
IN,Franklin County,261.1
IN,Fulton County,
IN,Gibson County,298.1
IN,Grant County,356.8
IN,Greene County,
IN,Hamilton County,292.7
IN,Hancock County,314.5
IN,Harrison County,293.9
IN,Hendricks County,310.1
IN,Henry County,309.9
IN,Howard County,415.5
IN,Huntington County,312.2
IN,Jackson County,
IN,Jasper County,339.2
IN,Jay County,
IN,Jefferson County,338.1
IN,Jennings County,
IN,Johnson County,316
IN,Knox County,
IN,Kosciusko County,297.5
IN,LaGrange County,327.3
IN,Lake County,359.2
IN,LaPorte County,366
IN,Lawrence County,
IN,Madison County,284.5
IN,Marion County,317.2
IN,Marshall County,377.5
IN,Martin County,
IN,Miami County,368.1
IN,Monroe County,
IN,Montgomery County,351.2
IN,Morgan County,315.9
IN,Newton County,347.7
IN,Noble County,317.2
IN,Ohio County,
IN,Orange County,
IN,Owen County,
IN,Parke County,
IN,Perry County,
IN,Pike County,
IN,Porter County,339.8
IN,Posey County,307.2
IN,Pulaski County,
IN,Putnam County,
IN,Randolph County,241.5
IN,Ripley County,
IN,Rush County,
IN,St. Joseph County,372.5
IN,Scott County,337.3
IN,Shelby County,316.1
IN,Spencer County,
IN,Starke County,355.8
IN,Steuben County,
IN,Sullivan County,
IN,Switzerland County,
IN,Tippecanoe County,571.4
IN,Tipton County,319.8
IN,Union County,257.4
IN,Vanderburgh County,309.6
IN,Vermillion County,443.4
IN,Vigo County,
IN,Wabash County,
IN,Warren County,571.9
IN,Warrick County,311.6
IN,Washington County,317.9
IN,Wayne County,
IN,Wells County,312.7
IN,White County,554.2
IN,Whitley County,318
IN,Adams County,224.1
IN,Allen County,222.7
IN,Bartholomew County,
IN,Benton County,91.8
IN,Blackford County,
IN,Boone County,133.9
IN,Brown County,
IN,Carroll County,225.8
IN,Cass County,14.4
IN,Clark County,232.7
IN,Clay County,
IN,Clinton County,53.8
IN,Crawford County,
IN,Daviess County,
IN,Dearborn County,180.8
IN,Decatur County,
IN,DeKalb County,199.4
IN,Delaware County,201.5
IN,Dubois County,
IN,Elkhart County,177.2
IN,Fayette County,
IN,Floyd County,134.7
IN,Fountain County,
IN,Franklin County,
IN,Fulton County,130.8
IN,Gibson County,
IN,Grant County,277.9
IN,Greene County,
IN,Hamilton County,144.1
IN,Hancock County,166.6
IN,Harrison County,95.5
IN,Hendricks County,139.5
IN,Henry County,153.8
IN,Howard County,500.9
IN,Huntington County,225.8
IN,Jackson County,
IN,Jasper County,197.6
IN,Jay County,
IN,Jefferson County,
IN,Jennings County,
IN,Johnson County,130.7
IN,Knox County,
IN,Kosciusko County,173.8
IN,LaGrange County,151.2
