LocationAbbr,LocationDesc,MortalityPer100k
AK,Lake and Peninsula,
AK,Matanuska-Susitna,
AK,Nome,
AK,North Slope,
AK,Northwest Arctic,
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,
AK,Valdez-Cordova,
AK,Wade Hampton,
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,
AK,Aleutians East,
AK,Aleutians West,
AK,Anchorage,101
AK,Bethel,
AK,Bristol Bay,
AK,Denali,
AK,Dillingham,
AK,Fairbanks North Star,
AK,Haines,
AK,Juneau,
AK,Kenai Peninsula,101.1
AK,Ketchikan Gateway,
AK,Kodiak Island,
AK,Lake and Peninsula,
AK,Matanuska-Susitna,98.8
AK,Nome,
AK,North Slope,
AK,Northwest Arctic,
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,
AK,Valdez-Cordova,100
AK,Wade Hampton,
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,
AK,Aleutians East,
AK,Aleutians West,
AK,Anchorage,
AK,Bethel,
AK,Bristol Bay,
AK,Denali,
AK,Dillingham,
AK,Fairbanks North Star,
AK,Haines,
AK,Juneau,
AK,Kenai Peninsula,130.1
AK,Ketchikan Gateway,
AK,Kodiak Island,
AK,Lake and Peninsula,
AK,Matanuska-Susitna,
AK,Nome,
AK,North Slope,
AK,Northwest Arctic,
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,
AK,Valdez-Cordova,
AK,Wade Hampton,
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,
AK,Aleutians East,
AK,Aleutians West,
AK,Anchorage,
AK,Bethel,
AK,Bristol Bay,
AK,Denali,
AK,Dillingham,
AK,Fairbanks North Star,
AK,Haines,
AK,Juneau,
AK,Kenai Peninsula,
AK,Ketchikan Gateway,
AK,Kodiak Island,
AK,Lake and Peninsula,
AK,Matanuska-Susitna,
AK,Nome,
